Word	60_70	70_80	80_90	90_00	Frequency
banish	1.0089	1.0060	1.1097	1.1057	1075
sequence	1.0047	1.0207	1.0043	1.0585	2516
jessica	1.0378	1.0288	1.0571	1.0501	1145
trout	1.0078	1.0086	1.0548	1.0463	1246
chile	1.0197	1.0054	1.0275	1.0427	1128
clayton	1.0679	1.0361	1.0114	1.0403	1354
oscar	1.0047	1.0125	1.0215	1.0392	1551
detail	1.0036	1.0049	1.0012	1.0337	11749
fanny	1.0169	1.0127	1.0109	1.0329	1316
daisy	1.0451	1.0254	1.0407	1.0323	2578
wayne	1.0286	1.0142	1.0039	1.0287	1845
neutral	1.0079	1.0054	1.0125	1.0255	1345
josh	1.0340	1.0402	1.0195	1.0252	1233
drew	1.0306	1.0149	1.0271	1.0251	1199
dutch	1.0093	1.0148	1.0075	1.0234	2195
note	1.0006	1.0025	1.0262	1.0233	17251
ian	1.0126	1.0601	1.0322	1.0229	1073
municipal	1.0059	1.0073	1.0177	1.0225	1405
val	1.0225	1.0222	1.0257	1.0215	1026
patience	1.0015	1.0188	1.0229	1.0215	2494
gene	1.0035	1.0046	1.0060	1.0203	3459
northeast	1.0222	1.0024	1.0127	1.0173	1187
brian	1.0611	1.0097	1.0108	1.0171	3627
viet	1.0017	1.0076	1.0277	1.0170	2280
indirect	1.0091	1.0043	1.0169	1.0165	1188
equity	1.0134	1.0127	1.0036	1.0159	1124
fig	1.0110	1.0029	1.0216	1.0159	2306
cell	1.0016	1.0013	1.0026	1.0143	7491
consultant	1.0057	1.0044	1.0139	1.0138	1913
inward	1.0033	1.0099	1.0097	1.0130	1004
sphere	1.0040	1.0023	1.0059	1.0123	1291
cattle	1.0040	1.0020	1.0126	1.0122	2927
chronicle	1.0052	1.0074	1.0337	1.0121	1331
kin	1.0103	1.0112	1.0161	1.0121	1137
virtual	1.0090	1.0155	1.0471	1.0114	1010
mac	1.0102	1.0216	1.0374	1.0114	1582
sec	1.0180	1.0222	1.0111	1.0114	1250
abraham	1.0084	1.0274	1.0079	1.0112	1942
pact	1.0044	1.0044	1.0087	1.0108	1036
mg	1.0267	1.0174	1.1705	1.0105	1281
susan	1.0221	1.0128	1.0303	1.0100	3952
arkansa	1.0157	1.0084	1.0100	1.0099	1015
carol	1.0112	1.0019	1.0060	1.0096	2381
neill	1.0066	1.0059	1.0135	1.0094	1225
oblige	1.0015	1.0018	1.0028	1.0091	1416
bitterly	1.0020	1.0018	1.0065	1.0091	1034
decree	1.0020	1.0030	1.0031	1.0089	1017
hop	1.0104	1.0071	1.0183	1.0086	1015
evidently	1.0036	1.0054	1.0041	1.0085	1070
plow	1.0034	1.0033	1.0032	1.0085	1166
lloyd	1.0078	1.0071	1.0162	1.0085	1349
discard	1.0042	1.0031	1.0145	1.0083	1312
crunch	1.0697	1.0393	1.0057	1.0083	1328
scene	1.0005	1.0010	1.0135	1.0083	13168
cent	1.0006	1.0157	1.0064	1.0082	9804
ibm	1.0083	1.0079	1.0025	1.0081	1279
unconscious	1.0019	1.0045	1.0036	1.0080	1531
holder	1.0029	1.0074	1.0190	1.0078	1153
chick	1.0099	1.0124	1.0112	1.0078	1064
max	1.0222	1.0055	1.0134	1.0077	3594
shorter	1.0070	1.0040	1.0065	1.0076	1560
sympathetic	1.0154	1.0021	1.0065	1.0076	1295
angle	1.0077	1.0157	1.0086	1.0076	5190
rep	1.0010	1.0018	1.0188	1.0075	1770
smith	1.0060	1.0066	1.0114	1.0075	7821
inspector	1.0067	1.0039	1.0061	1.0075	1616
widen	1.0030	1.0058	1.0028	1.0075	1093
compact	1.0090	1.0069	1.0108	1.0074	1231
designate	1.0191	1.0069	1.0164	1.0074	1385
rockefeller	1.0090	1.0238	1.0050	1.0074	2151
domain	1.0057	1.0041	1.0119	1.0074	1065
herald	1.0134	1.0072	1.0106	1.0073	1078
india	1.0020	1.0029	1.0035	1.0073	3921
mode	1.0065	1.0047	1.0090	1.0071	3071
intervention	1.0013	1.0026	1.0076	1.0071	1746
lon	1.0185	1.0395	1.0042	1.0070	1113
restrain	1.0054	1.0057	1.0084	1.0070	1284
september	1.0013	1.0014	1.0067	1.0069	4881
veto	1.0068	1.0026	1.0055	1.0068	1072
rack	1.0026	1.0036	1.0100	1.0068	1465
starts	1.0066	1.0051	1.0056	1.0067	1069
architecture	1.0064	1.0053	1.0030	1.0067	2056
hostage	1.0170	1.0102	1.0037	1.0067	2134
universal	1.0047	1.0041	1.0091	1.0067	2702
acquisition	1.0057	1.0140	1.0076	1.0065	1386
assurance	1.0014	1.0012	1.0082	1.0065	1373
preparation	1.0034	1.0025	1.0064	1.0064	2460
premium	1.0051	1.0035	1.0028	1.0062	1036
progressive	1.0051	1.0070	1.0088	1.0062	1659
sauce	1.0040	1.0038	1.0018	1.0062	2900
liberal	1.0011	1.0024	1.0056	1.0061	5619
cuban	1.0041	1.0091	1.0101	1.0061	2291
cherry	1.0121	1.0287	1.0429	1.0059	1991
pointed	1.0038	1.0060	1.0047	1.0059	1038
agriculture	1.0054	1.0046	1.0032	1.0059	2162
subsequently	1.0042	1.0055	1.0081	1.0059	1016
savage	1.0091	1.0099	1.0143	1.0059	1646
joel	1.0284	1.0412	1.0229	1.0059	1638
productive	1.0053	1.0048	1.0097	1.0058	1355
madison	1.0182	1.0052	1.0249	1.0058	1867
outline	1.0051	1.0015	1.0072	1.0057	1615
idaho	1.0080	1.0359	1.0452	1.0057	1044
don	1.0037	1.1075	1.1052	1.0056	7174
prestige	1.0019	1.0034	1.0055	1.0056	1063
curious	1.0016	1.0010	1.0039	1.0056	3626
officially	1.0042	1.0061	1.0070	1.0055	1351
external	1.0038	1.0071	1.0060	1.0053	1578
blade	1.0018	1.0025	1.0021	1.0053	3157
wright	1.0134	1.0137	1.0115	1.0052	1315
temporary	1.0020	1.0025	1.0034	1.0051	2249
terrorism	1.0086	1.0033	1.0052	1.0051	1055
succession	1.0033	1.0067	1.0067	1.0050	1197
lower	1.0028	1.0057	1.0095	1.0050	1704
ye	1.0030	1.0039	1.0078	1.0050	1884
solely	1.0041	1.0048	1.0063	1.0050	1066
bishop	1.0041	1.0032	1.0049	1.0049	3469
joseph	1.0106	1.0089	1.0040	1.0048	4409
traditionally	1.0060	1.0051	1.0079	1.0048	1228
approval	1.0008	1.0011	1.0055	1.0048	3230
cit	1.0050	1.0019	1.0032	1.0048	2279
lend	1.0017	1.0082	1.0069	1.0048	2098
bulk	1.0037	1.0032	1.0055	1.0048	1582
consistently	1.0032	1.0060	1.0089	1.0048	1091
transit	1.0104	1.0078	1.0069	1.0047	1725
bell	1.0007	1.0107	1.0064	1.0047	6424
scrape	1.0036	1.0048	1.0029	1.0047	1193
marshall	1.0166	1.0045	1.0083	1.0047	1836
disk	1.0108	1.0099	1.0063	1.0047	1361
littunle	1.0012	1.0017	1.0035	1.0046	1468
gasoline	1.0201	1.0038	1.0072	1.0046	1967
swarm	1.0028	1.0049	1.0065	1.0046	1269
blacks	1.0085	1.0018	1.0045	1.0046	1238
detroit	1.0023	1.0035	1.0059	1.0046	2582
contact	1.0022	1.0011	1.0094	1.0046	6934
patricia	1.0150	1.0422	1.0398	1.0046	1207
consult	1.0030	1.0077	1.0102	1.0046	2544
chemistry	1.0098	1.0070	1.0059	1.0045	1020
interior	1.0100	1.0037	1.0068	1.0045	3523
hugh	1.0157	1.0144	1.0153	1.0045	2963
dedicate	1.0026	1.0031	1.0089	1.0045	1901
torture	1.0059	1.0019	1.0030	1.0045	1643
heate	1.0215	1.0094	1.0107	1.0045	1436
anyhow	1.0016	1.0018	1.0061	1.0045	1132
dependent	1.0021	1.0027	1.0074	1.0045	1915
gallery	1.0024	1.0037	1.0059	1.0045	3266
char	1.0042	1.0046	1.0171	1.0044	2023
dissolve	1.0204	1.0028	1.0087	1.0044	2064
