Word	60_70	70_80	80_90	90_00	Frequency
abraham	0.36824723115994457	0.36096251977319727	0.3346596273233673	0.36547498220855074	1942
acquisition	0.37454615518442597	0.37793823635698215	0.36853447192484606	0.3646809825301713	1386
acre	0.2846901465086191	0.28235926371185754	0.28212130402437946	0.2789387698861457	4303
adapt	0.42253469240896874	0.4165369340988542	0.4171631811539061	0.41545911059319396	1077
address	0.4312465599765176	0.44313552095812625	0.45433842734349594	0.4553356259883506	8219
admit	0.3684526413127655	0.3696316181241046	0.3657579211797469	0.35794976439260917	8334
admitt	0.3645639813781193	0.35642622452619566	0.35684096179704355	0.35824104563935555	1386
adoption	0.3768989672953587	0.39428713556901857	0.4019536858480153	0.39778162849209164	1026
advertise	0.4272161028620333	0.42608445231403025	0.4178222156030635	0.41978774945899805	3792
advocate	0.42728683315928817	0.4271135219494679	0.41802475236167086	0.4049195726877787	2602
agreement	0.2847497066772382	0.28577825207390306	0.295292212423414	0.3001270713343787	7444
agriculture	0.41488692290705464	0.4195955504401327	0.4058820733213832	0.39381306660383764	2162
alive	0.303774129608195	0.30346529722925925	0.2988046004599476	0.2939051911677129	7099
along	0.45872796551853046	0.4603131707726607	0.46294529173629617	0.46070671756977266	32438
alongside	0.4459028213111892	0.45376602175079456	0.4624359388817735	0.46480993379943303	1718
already	0.5395435065063747	0.5378637831692986	0.5383329863521501	0.5365281087977364	30272
amateur	0.42263151106677116	0.4320327632938034	0.4432469843007126	0.4416475870308686	1490
ambitious	0.4589269293564479	0.46014594296495415	0.46079290129661304	0.46176941098602875	1510
ancient	0.4184125431861628	0.4177416449448598	0.41901551865840064	0.4192303136200805	5545
angle	0.3567919431345264	0.3590623821697185	0.3592114988282653	0.3729036378903367	5190
anonymous	0.46189528963837007	0.4687370035734953	0.4676938969920323	0.4644792645725484	1115
answer	0.3806628674377428	0.3806725141388507	0.38326966353941594	0.3806426577002667	25397
anticipate	0.47214948490029207	0.4733084982319251	0.4738749732140015	0.4756052365215304	2490
anyhow	0.388183227323529	0.374274524886909	0.3761077377820143	0.37863340511253807	1132
anymore	0.26803732454247303	0.26860311415091415	0.26233919653604826	0.25531414880343056	4559
appear	0.42058401196468603	0.42122697713829976	0.42144211696129374	0.41922054625825783	22253
appetite	0.28983060280049827	0.29081260330995146	0.28757947782039256	0.28608833517923243	1258
appreciation	0.3251003911853307	0.3306813313541143	0.33901618060541805	0.33736531399954106	1071
appropriate	0.547397446381326	0.5395042351867371	0.5369943292969352	0.5348403262205171	4396
approval	0.29159446171676917	0.29818485015429663	0.3138163244931105	0.3185781158021168	3230
architecture	0.350100965006516	0.3470193359098673	0.35468607287820214	0.3694756560498402	2056
arena	0.3816943221385944	0.38392764363832815	0.3848586344768428	0.3954129795948606	1336
arise	0.3670419433832757	0.3719653298478791	0.37031451900530793	0.36014303014795745	3142
arkansa	0.43756913633359945	0.4318072296752087	0.4367896639006514	0.4312101019654073	1015
assignment	0.3536864642823877	0.3514870260674877	0.3564294764097708	0.3579530872717356	1983
assist	0.44049988759930075	0.45650185564756973	0.4723099142099784	0.48068910313165136	2325
assurance	0.32962547312927404	0.3387849751163325	0.3567716769605854	0.3562962671554222	1373
athlete	0.33411122775889657	0.3367520162327141	0.3385226238504045	0.34676649069988413	2083
attack	0.3922556552328467	0.39638284770895865	0.4007591943750621	0.39334622314865475	13820
attribute	0.4823142715545607	0.4872636098602207	0.49332890438117905	0.4964703198220446	2096
auction	0.3480340282890621	0.34727138642117994	0.3446908688861646	0.34282884760922355	1096
