Word	60_70	70_80	80_90	90_00	Frequency
abraham	0.6106506884098053	0.5897738039493561	0.5857019424438477	0.5306703448295593	2020
acquisition	0.4887123107910156	0.5198221206665039	0.49449098110198975	0.4250553250312805	1476
acre	0.23353981971740723	0.21213537454605103	0.2265169620513916	0.20162945985794067	4561
adapt	0.40437692403793335	0.48590779304504395	0.47124671936035156	0.38396525382995605	1160
address	0.37523096799850464	0.3910045623779297	0.37895238399505615	0.28644251823425293	8811
admit	0.372334361076355	0.3110552430152893	0.32818603515625	0.27290618419647217	8823
admitt	0.4475783705711365	0.4651239514350891	0.4979844093322754	0.4561384916305542	1444
adoption	0.5161609947681427	0.5664038062095642	0.5033041536808014	0.49945634603500366	1091
advertise	0.3755330443382263	0.398232102394104	0.3990579843521118	0.34956908226013184	4010
advocate	0.46822893619537354	0.437125563621521	0.44403308629989624	0.3277176022529602	2757
agreement	0.2973809838294983	0.25561487674713135	0.28068310022354126	0.29330533742904663	7755
agriculture	0.3910984396934509	0.4115700125694275	0.4073171019554138	0.3553978204727173	2221
alive	0.3832927942276001	0.37958431243896484	0.38768303394317627	0.3259996771812439	7541
along	0.20698761940002441	0.21290302276611328	0.21799308061599731	0.15271681547164917	34511
alongside	0.49130767583847046	0.5457488894462585	0.480257511138916	0.4155679941177368	1833
already	0.24200809001922607	0.21481245756149292	0.25519269704818726	0.18662357330322266	32162
amateur	0.49014532566070557	0.4723484516143799	0.5319201946258545	0.4253091812133789	1579
ambitious	0.44814735651016235	0.4489733576774597	0.4706905484199524	0.4234790802001953	1597
ancient	0.3474295139312744	0.29446542263031006	0.27654415369033813	0.22859370708465576	5880
angle	0.42812448740005493	0.4421084523200989	0.40634477138519287	0.36359548568725586	5487
anonymous	0.5020936727523804	0.5473847091197968	0.5403628647327423	0.4404626488685608	1186
answer	0.284210741519928	0.26706254482269287	0.2579127550125122	0.1984013319015503	26877
anticipate	0.41690921783447266	0.48334813117980957	0.5258206725120544	0.4272657632827759	2621
anyhow	0.5694917738437653	0.5685297846794128	0.5590679049491882	0.5627337694168091	1177
anymore	0.390250563621521	0.31668293476104736	0.31220972537994385	0.2402060627937317	4997
appear	0.2208530306816101	0.2325701117515564	0.23803728818893433	0.19119107723236084	23516
appetite	0.4245762825012207	0.4167799949645996	0.3857899308204651	0.43739551305770874	1326
apple	0.4134696125984192	0.48729896545410156	0.3997175097465515	0.3630726933479309	4234
appreciation	0.4288848638534546	0.3888157606124878	0.409651517868042	0.43305546045303345	1139
appropriate	0.3956969380378723	0.38932013511657715	0.3500850200653076	0.30131930112838745	4671
approval	0.29979461431503296	0.34622591733932495	0.39100903272628784	0.29186779260635376	3409
architecture	0.46541792154312134	0.435848593711853	0.4314339756965637	0.43391770124435425	2212
arena	0.49404454231262207	0.5149278342723846	0.5189343392848969	0.4188982844352722	1444
